The Misfits,1961,John Huston,Montgomery Clift,Kevin McCarthy,Thelma Ritter,,4000000,7.4
Judgment at Nuremberg,1961,Stanley Kramer,Maximilian Schell,Montgomery Clift,Spencer Tracy,,3000000,8.3
Pocketful of Miracles,1961,Frank Capra,Ann-Margret,Glenn Ford,Thomas Mitchell,,2900000,7.3
The Hustler,1961,Robert Rossen,George C. Scott,Jackie Gleason,Murray Hamilton,,2000000,8
The Longest Day,1962,Ken Annakin,Richard Burton,Richard Beymer,Eddie Albert,,10000000,7.8
The Man Who Shot Liberty Valance,1962,John Ford,Lee Marvin,Woody Strode,Vera Miles,,3200000,8.1
To Kill a Mockingbird,1962,Robert Mulligan,Robert Duvall,Brock Peters,William Windom,,2000000,8.4
The Brain That Wouldn't Die,1962,Joseph Green,Virginia Leith,Jason Evers,Bruce Kerr,,62000,4.1
55 Days at Peking,1963,Nicholas Ray,Ava Gardner,David Niven,John Ireland,,9000000,6.8
It's a Mad Mad Mad Mad World,1963,Stanley Kramer,Jonathan Winters,Sid Caesar,Spencer Tracy,46300000,9400000,7.6
The Great Escape,1963,John Sturges,James Coburn,Donald Pleasence,Gordon Jackson,,4000000,8.3
Donovan's Reef,1963,John Ford,Lee Marvin,Cesar Romero,Jack Warden,,2686585,6.9
Hud,1963,Martin Ritt,Patricia Neal,Melvyn Douglas,Whit Bissell,,2500000,7.9
The Fall of the Roman Empire,1964,Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,,19000000,6.7
My Fair Lady,1964,George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,72000000,17000000,7.9
Mary Poppins,1964,Robert Stevenson,Ed Wynn,Glynis Johns,Elsa Lanchester,102300000,6000000,7.8
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick,George C. Scott,Slim Pickens,Keenan Wynn,,1800000,8.5
Nothing But a Man,1964,Michael Roemer,Yaphet Kotto,Gloria Foster,Ivan Dixon,12438,160000,8.1
The Greatest Story Ever Told,1965,George Stevens,Martin Landau,Carroll Baker,Josac Ferrer,8000000,20000000,6.6
Doctor Zhivago,1965,David Lean,Julie Christie,Klaus Kinski,Geraldine Chaplin,111722000,11000000,8
The Sound of Music,1965,Robert Wise,Eleanor Parker,Angela Cartwright,Nicholas Hammond,163214286,8200000,8
Major Dundee,1965,Sam Peckinpah,James Coburn,Slim Pickens,Warren Oates,14873,3800000,6.8
A Charlie Brown Christmas,1965,Bill Melendez,Peter Robbins,Bill Melendez,Christopher Shea,,150000,8.4
Harper,1966,Jack Smight,Janet Leigh,Robert Wagner,Shelley Winters,,3500000,7
Torn Curtain,1966,Alfred Hitchcock,Tamara Toumanova,Lila Kedrova,David Opatoshu,,6000000,6.7
A Funny Thing Happened on the Way to the Forum,1966,Richard Lester,Buster Keaton,Zero Mostel,Phil Silvers,,2000000,7
Batman: The Movie,1966,Leslie H. Martinson,Burgess Meredith,Cesar Romero,Burt Ward,,1377800,6.5
In Cold Blood,1967,Richard Brooks,John Forsythe,Robert Blake,Will Geer,,3500000,8
Point Blank,1967,John Boorman,Lee Marvin,Angie Dickinson,Carroll O'Connor,,3000000,7.4
Yours Mine and Ours,1968,Melville Shavelson,Lucille Ball,Tom Bosley,Tim Matheson,,2500000,7.2
Night of the Living Dead,1968,George A. Romero,Judith O'Dea,Duane Jones,S. William Hinzman,,114000,8
Rosemary's Baby,1968,Roman Polanski,John Cassavetes,Mia Farrow,Charles Grodin,,2300000,8
Hang 'Em High,1968,Ted Post,Clint Eastwood,Bruce Dern,Alan Hale Jr.,,1800000,7
Charly,1968,Ralph Nelson,Cliff Robertson,Dick Van Patten,Claire Bloom,,,7.1
Paint Your Wagon,1969,Joshua Logan,Clint Eastwood,Lee Marvin,Ray Walston,,20000000,6.7
Sweet Charity,1969,Bob Fosse,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,,20000000,7
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,Katharine Ross,Ted Cassidy,Kenneth Mars,102308900,6000000,8.1
The Wild Bunch,1969,Sam Peckinpah,William Holden,Warren Oates,L.Q. Jones,,6244087,8
Topaz,1969,Alfred Hitchcock,Roscoe Lee Browne,John Vernon,Philippe Noiret,,4000000,6.3
Midnight Cowboy,1969,John Schlesinger,Brenda Vaccaro,Barnard Hughes,John McGiver,,3600000,7.9
The Stewardesses,1969,Al Silliman Jr.,Christina Hart,Nancy Ison,William Condos,,100000,4
Darling Lili,1970,Blake Edwards,Rock Hudson,Vernon Dobtcheff,Jeremy Kemp,5000000,25000000,6.2
Catch-22,1970,Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,,18000000,7.2
Patton,1970,Franklin J. Schaffner,George C. Scott,Karl Malden,Bill Hickman,,12000000,8
The Molly Maguires,1970,Martin Ritt,Frank Finlay,Anthony Zerbe,Samantha Eggar,,11000000,6.9
The Ballad of Cable Hogue,1970,Sam Peckinpah,Slim Pickens,Jason Robards,L.Q. Jones,,3716946,7.3
Beneath the Planet of the Apes,1970,Ted Post,Linda Harrison,Gregory Sierra,Victor Buono,,3000000,6.1
Cotton Comes to Harlem,1970,Ossie Davis,Redd Foxx,Cleavon Little,Calvin Lockhart,,1200000,6.6
Beyond the Valley of the Dolls,1970,Russ Meyer,Charles Napier,Cynthia Myers,Harrison Page,9000000,900000,6.2
Woodstock,1970,Michael Wadleigh,Joe Cocker,Jimi Hendrix,Joan Baez,13300000,600000,8.1
The French Connection,1971,William Friedkin,Roy Scheider,Fernando Rey,Tony Lo Bianco,,1800000,7.8
Fiddler on the Roof,1971,Norman Jewison,Topol,Paul Michael Glaser,Rosalind Harris,50000000,9000000,8
The Andromeda Strain,1971,Robert Wise,David Wayne,Paula Kelly,Eric Christmas,,6500000,7.2
Willy Wonka & the Chocolate Factory,1971,Mel Stuart,Peter Ostrum,Jack Albertson,Julie Dawn Cole,,3000000,7.8
Escape from the Planet of the Apes,1971,Don Taylor,Roddy McDowall,M. Emmet Walsh,Sal Mineo,,2500000,6.3
Bananas,1971,Woody Allen,Woody Allen,Charlotte Rae,Louise Lasser,,2000000,7.1
Sweet Sweetback's Baadasssss Song,1971,Melvin Van Peebles,John Amos,Mario Van Peebles,Melvin Van Peebles,15180000,500000,5.5
The Night Visitor,1971,Laslo Benedek,Liv Ullmann,Trevor Howard,Andrew Keir,,,6.8
Pink Narcissus,1971,James Bidgood,Don Brooks,Bobby Kendall,,8231,27000,6.7
The Godfather,1972,Francis Ford Coppola,Al Pacino,Marlon Brando,Robert Duvall,134821952,6000000,9.2
1776,1972,Peter H. Hunt,Blythe Danner,Ken Howard,Howard Caine,,4000000,7.6
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,Woody Allen,Woody Allen,John Carradine,Lynn Redgrave,,2000000,6.8
Conquest of the Planet of the Apes,1972,J. Lee Thompson,Roddy McDowall,Gordon Jump,John Randolph,,1700000,6.1
Silent Running,1972,Douglas Trumbull,Bruce Dern,Ron Rifkin,Jesse Vint,,1000000,6.7
Pink Flamingos,1972,John Waters,Divine,Mink Stole,Edith Massey,180483,10000,6.1
Mean Streets,1973,Martin Scorsese,Robert De Niro,David Carradine,David Proval,32645,500000,7.4
The Exorcist,1973,William Friedkin,Ellen Burstyn,Linda Blair,Lee J. Cobb,204565000,8000000,8
The Sting,1973,George Roy Hill,Eileen Brennan,Robert Shaw,Ray Walston,159600000,5500000,8.3
High Plains Drifter,1973,Clint Eastwood,Clint Eastwood,Richard Bull,John Hillerman,,5500000,7.6
Pat Garrett & Billy the Kid,1973,Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,,4638783,7.4
Sleeper,1973,Woody Allen,Woody Allen,John Beck,Mews Small,,2000000,7.3
Battle for the Planet of the Apes,1973,J. Lee Thompson,Roddy McDowall,Paul Williams,Claude Akins,,1800000,5.5
American Graffiti,1973,George Lucas,Harrison Ford,Ron Howard,Mackenzie Phillips,115000000,777000,7.5
The Godfather: Part II,1974,Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,57300000,13000000,9
The Texas Chain Saw Massacre,1974,Tobe Hooper,Gunnar Hansen,Edwin Neal,Marilyn Burns,30859000,83532,7.5
The Front Page,1974,Billy Wilder,Austin Pendleton,Harold Gould,David Wayne,,4000000,7.3
Young Frankenstein,1974,Mel Brooks,Madeline Kahn,Peter Boyle,Teri Garr,86300000,2800000,8
Blazing Saddles,1974,Mel Brooks,Madeline Kahn,David Huddleston,Harvey Korman,119500000,2600000,7.8
The Conversation,1974,Francis Ford Coppola,Harrison Ford,Teri Garr,Cindy Williams,,1600000,7.9
Benji,1974,Joe Camp,Frances Bavier,Peter Breck,Edgar Buchanan,39552600,500000,6.1
Jaws,1975,Steven Spielberg,Roy Scheider,Robert Shaw,Murray Hamilton,260000000,8000000,8
One Flew Over the Cuckoo's Nest,1975,Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,112000000,4400000,8.7
Death Race 2000,1975,Paul Bartel,Sylvester Stallone,David Carradine,Martin Kove,,300000,6.2
The Bad News Bears,1976,Michael Ritchie,Tatum O'Neal,Vic Morrow,Joyce Van Patten,,,7.3
Logan's Run,1976,Michael Anderson,Farrah Fawcett,Jenny Agutter,Peter Ustinov,25000000,9000000,6.8
Robin and Marian,1976,Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,,5000000,6.6
Silent Movie,1976,Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,,4400000,6.7
Network,1976,Sidney Lumet,Robert Duvall,Faye Dunaway,William Holden,,3800000,8.1
Family Plot,1976,Alfred Hitchcock,Ed Lauter,Bruce Dern,William Devane,,4490375,6.8
Rocky,1976,John G. Avildsen,Sylvester Stallone,Burgess Meredith,Carl Weathers,117235247,960000,8.1
Taxi Driver,1976,Martin Scorsese,Robert De Niro,Albert Brooks,Peter Boyle,,1300000,8.3
A Bridge Too Far,1977,Richard Attenborough,Ryan O'Neal,Dirk Bogarde,Wolfgang Preiss,50800000,26000000,7.4
Sorcerer,1977,William Friedkin,Roy Scheider,Joe Spinell,Amidou,,12000000,7.7
Close Encounters of the Third Kind,1977,Steven Spielberg,Bob Balaban,Teri Garr,Melinda Dillon,128300000,19400870,7.7
Damnation Alley,1977,Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,,17000000,5.2
Exorcist II: The Heretic,1977,John Boorman,Linda Blair,Richard Burton,Ned Beatty,,14000000,3.7
New York New York,1977,Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,,14000000,6.7
Star Wars: Episode IV - A New Hope,1977,George Lucas,Harrison Ford,Peter Cushing,Kenny Baker,460935665,11000000,8.7
Julia,1977,Fred Zinnemann,Meryl Streep,Jane Fonda,Vanessa Redgrave,,7840000,7.4
Capricorn One,1977,Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,,5000000,6.8
Annie Hall,1977,Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,39200000,4000000,8.1
High Anxiety,1977,Mel Brooks,Madeline Kahn,Harvey Korman,Dick Van Patten,,3400000,6.7
The Kentucky Fried Movie,1977,John Landis,David Zucker,Barry Dennen,Tara Strohmeier,,650000,6.5
Kingdom of the Spiders,1977,John 'Bud' Cardos,Woody Strode,Hoke Howell,Tiffany Bolling,17000000,500000,5.9
Eraserhead,1977,David Lynch,Hal Landon Jr.,Jack Nance,Charlotte Stewart,,20000,7.4
Superman,1978,Richard Donner,Marlon Brando,Margot Kidder,Ned Beatty,134218018,55000000,7.3
The Wiz,1978,Sidney Lumet,Lena Horne,Diana Ross,Theresa Merritt,13000000,24000000,5.2
Jaws 2,1978,Jeannot Szwarc,Roy Scheider,Murray Hamilton,Joseph Mascolo,102922376,20000000,5.7
Halloween,1978,John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,47000000,300000,7.9
F.I.S.T.,1978,Norman Jewison,Sylvester Stallone,Peter Boyle,Rod Steiger,,11000000,6.4
Alien Zone,1978,Sharron Miller,Bernard Fox,Elizabeth MacRae,Charles Aidman,,350000,4.1
Grease,1978,Randal Kleiser,Olivia Newton-John,Stockard Channing,Sid Caesar,181360000,6000000,7.2
Animal House,1978,John Landis,John Belushi,Karen Allen,Tim Matheson,141600000,3000000,7.6
Days of Heaven,1978,Terrence Malick,Sam Shepard,Stuart Margolin,Richard Libertini,,3000000,8
The Last Waltz,1978,Martin Scorsese,Ringo Starr,Levon Helm,Bob Dylan,321952,,8.2
All That Jazz,1979,Bob Fosse,Roy Scheider,Ben Vereen,Max Wright,,,7.8
Star Trek: The Motion Picture,1979,Robert Wise,Leonard Nimoy,Nichelle Nichols,Walter Koenig,82300000,35000000,6.4
1941,1979,Steven Spielberg,Christopher Lee,John Belushi,Treat Williams,,35000000,5.9
Apocalypse Now,1979,Francis Ford Coppola,Harrison Ford,Marlon Brando,Robert Duvall,78800000,31500000,8.5
The Black Hole,1979,Gary Nelson,Robert Forster,Maximilian Schell,Yvette Mimieux,,20000000,5.9
Meteor,1979,Ronald Neame,Martin Landau,Karl Malden,Brian Keith,,16000000,4.9
Prophecy,1979,John Frankenheimer,Talia Shire,Richard Dysart,Robert Foxworth,,12000000,5.4
The Rose,1979,Mark Rydell,David Keith,Frederic Forrest,Alan Bates,29200000,8500000,6.9
Escape from Alcatraz,1979,Don Siegel,Clint Eastwood,Patrick McGoohan,Fred Ward,36500000,8000000,7.6
The Black Stallion,1979,Carroll Ballard,Teri Garr,Kelly Reno,Hoyt Axton,,2700000,7.4
Penitentiary,1979,Jamaa Fanaka,Leon Isaac Kennedy,Chuck Mitchell,Wilbur 'Hi-Fi' White,,100000,5.8
Superman II,1980,Richard Lester,Margot Kidder,Ned Beatty,Jackie Cooper,108200000,54000000,6.8
Heaven's Gate,1980,Michael Cimino,Jeff Bridges,Sam Waterston,Isabelle Huppert,1500000,44000000,6.8
The Blues Brothers,1980,John Landis,John Belushi,Aretha Franklin,Ray Charles,54200000,27000000,7.9
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,Harrison Ford,Kenny Baker,Anthony Daniels,290158751,18000000,8.8
Can't Stop the Music,1980,Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,2000000,20000000,4.5
The Shining,1980,Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,,19000000,8.4
The Fog,1980,John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,21378000,1000000,6.8
Raging Bull,1980,Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,45250,18000000,8.3
Private Benjamin,1980,Howard Zieff,Eileen Brennan,Albert Brooks,Alan Oppenheimer,69800000,10000000,6.1
Coal Miner's Daughter,1980,Michael Apted,Sissy Spacek,Beverly D'Angelo,Levon Helm,79900000,,7.5
The Long Riders,1980,Walter Hill,Dennis Quaid,David Carradine,Randy Quaid,,10000000,7.1
Dressed to Kill,1980,Brian De Palma,Angie Dickinson,David Margulies,Nancy Allen,31899000,6500000,7.1
Ordinary People,1980,Robert Redford,Adam Baldwin,Elizabeth McGovern,Judd Hirsch,54800000,6000000,7.8
Caddyshack,1980,Harold Ramis,Bill Murray,Rodney Dangerfield,Brian Doyle-Murray,39800000,6000000,7.4
Galaxina,1980,William Sachs,Stephen Macht,Avery Schreiber,Angelo Rossitto,,,3.4
Somewhere in Time,1980,Jeannot Szwarc,Teresa Wright,Bill Erwin,George Voskovec,,5100000,7.3
The Elephant Man,1980,David Lynch,Anthony Hopkins,Anne Bancroft,Dexter Fletcher,,5000000,8.2
The Blue Lagoon,1980,Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,,4500000,5.7
Airplane!,1980,Jim Abrahams,Peter Graves,Lloyd Bridges,Barbara Billingsley,83400000,3500000,7.8
Reds,1981,Warren Beatty,Paul Sorvino,Warren Beatty,M. Emmet Walsh,,35000000,7.5
Raiders of the Lost Ark,1981,Steven Spielberg,Harrison Ford,Karen Allen,William Hootkins,242374454,18000000,8.5
Under the Rainbow,1981,Steve Rash,Mako,Adam Arkin,Billy Barty,8500000,20000000,5.4
The Legend of the Lone Ranger,1981,William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,8000000,18000000,5
Blow Out,1981,Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,,18000000,7.4
Dragonslayer,1981,Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,6000000,18000000,6.7
Roar,1981,Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,2000000,17000000,6.4
The Postman Always Rings Twice,1981,Bob Rafelson,Anjelica Huston,Michael Lerner,John Colicos,,12000000,6.6
The Pursuit of D.B. Cooper,1981,Roger Spottiswoode,Robert Duvall,Treat Williams,Paul Gleason,,12000000,5.7
History of the World: Part I,1981,Mel Brooks,Madeline Kahn,Sid Caesar,Dom DeLuise,,11000000,6.9
Stripes,1981,Ivan Reitman,Bill Murray,Harold Ramis,Judge Reinhold,85300000,10000000,6.9
Heartbeeps,1981,Allan Arkush,Bernadette Peters,Randy Quaid,Christopher Guest,,10000000,4.2
Sphinx,1981,Franklin J. Schaffner,Frank Langella,William Hootkins,John Gielgud,800000,14000000,5.2
Modern Problems,1981,Ken Shapiro,Brian Doyle-Murray,Dabney Coleman,Mary Kay Place,,8000000,5
The Four Seasons,1981,Alan Alda,Rita Moreno,Len Cariou,Sandy Dennis,,,7.2
Mommie Dearest,1981,Frank Perry,Faye Dunaway,Xander Berkeley,Diana Scarwid,,5000000,6.7
Nighthawks,1981,Bruce Malmuth,Sylvester Stallone,Lindsay Wagner,Persis Khambatta,,5000000,6.4
Friday the 13th Part 2,1981,Steve Miner,Betsy Palmer,Adrienne King,Amy Steel,19100000,1250000,6.1
The Howling,1981,Joe Dante,Patrick Macnee,Robert Picardo,Dee Wallace,17986000,1000000,6.6
The Evil Dead,1981,Sam Raimi,Ted Raimi,Betsy Baker,Ellen Sandweiss,,375000,7.6
Graduation Day,1981,Herb Freed,Linnea Quigley,Carmen Argenziano,Vanna White,,250000,4.5
Conan the Barbarian,1982,John Milius,William Smith,Mako,Sandahl Bergman,37567440,20000000,6.9
Creepshow,1982,George A. Romero,Ted Danson,Hal Holbrook,Adrienne Barbeau,,8000000,6.9
First Blood,1982,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,,14000000,7.7
The Thing,1982,John Carpenter,Wilford Brimley,Richard Masur,David Clennon,13782838,15000000,8.2
Poltergeist,1982,Tobe Hooper,Heather O'Rourke,Zelda Rubinstein,Craig T. Nelson,76600000,10700000,7.4
Blade Runner,1982,Ridley Scott,Harrison Ford,Sean Young,M. Emmet Walsh,27000000,28000000,8.2
Firefox,1982,Clint Eastwood,Clint Eastwood,Warren Clarke,Kenneth Colley,46700000,21000000,5.9
The Best Little Whorehouse in Texas,1982,Colin Higgins,Dolly Parton,Barry Corbin,Dom DeLuise,69700000,35000000,5.8
Megaforce,1982,Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,5333658,20000000,3.5
The Verdict,1982,Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,54000000,16000000,7.8
Tootsie,1982,Sydney Pollack,Bill Murray,Sydney Pollack,Teri Garr,177200000,22000000,7.4
Cat People,1982,Paul Schrader,Ed Begley Jr.,Ruby Dee,John Heard,,18000000,6.1
Star Trek II: The Wrath of Khan,1982,Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,78900000,11000000,7.7
E.T. the Extra-Terrestrial,1982,Steven Spielberg,Henry Thomas,Dee Wallace,Peter Coyote,434949459,10500000,7.9
Diner,1982,Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,14100000,5000000,7.2
The Beastmaster,1982,Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,,8000000,6.2
Jekyll and Hyde... Together Again,1982,Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,,5000000,6.2
Fast Times at Ridgemont High,1982,Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,,4500000,7.2
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,Tom Atkins,Dan O'Herlihy,Nancy Kyes,14400000,2500000,4.6
